household_key,tot_spend,coup_user,COUPON_UPC
130,511.6200000000001,no,0
131,6156.219999999956,no,0
132,2875.239999999993,no,0
133,3823.8899999999708,no,0
134,5535.089999999951,no,0
135,717.500000000001,no,0
136,2804.8199999999956,no,0
137,1062.1699999999996,no,0
138,3529.1899999999787,no,0
139,3073.329999999995,yes,9
140,1720.6400000000017,no,0
141,448.34000000000026,no,0
142,2324.1900000000014,no,0
143,6574.229999999956,yes,3
144,2126.3100000000027,no,0
145,1470.4900000000023,no,0
146,843.0200000000008,no,0
147,1487.2100000000023,no,0
148,1231.7600000000018,no,0
149,11920.929999999906,no,0
150,230.35,no,0
151,1226.1400000000012,no,0
152,1454.2800000000018,no,0
153,1558.6500000000033,no,0
154,867.1800000000002,no,0
155,2101.0500000000015,no,0
156,5224.069999999974,yes,2
157,2748.9499999999907,no,0
158,1869.7900000000018,yes,1
159,2143.870000000002,no,0
160,1536.0900000000017,no,0
161,6071.5199999999595,no,0
162,3037.539999999985,no,0
163,272.52,no,0
164,4272.409999999974,yes,6
165,2995.4699999999966,yes,2
166,3059.689999999995,no,0
167,1268.020000000001,no,0
168,510.8000000000004,no,0
169,255.58000000000004,no,0
170,2024.5100000000036,no,0
171,740.4599999999999,no,0
172,1770.8700000000006,no,0
173,234.97,no,0
174,1208.3900000000008,no,0
175,1154.0200000000007,no,0
176,788.2900000000003,no,0
177,1130.5800000000002,no,0
178,2028.470000000001,no,0
179,620.5600000000001,no,0
180,2103.400000000001,no,0
181,1670.820000000002,no,0
182,1162.3400000000001,no,0
183,1560.6700000000008,no,0
184,7090.069999999947,yes,4
185,2137.6200000000013,no,0
186,59.51999999999999,no,0
187,701.0000000000008,no,0
188,1847.6200000000022,no,0
189,801.9900000000006,no,0
190,696.2800000000005,no,0
191,552.8500000000004,no,0
192,3778.0799999999786,yes,2
193,4814.659999999979,no,0
194,1882.8100000000031,no,0
195,4166.719999999982,no,0
196,5261.189999999964,yes,5
197,1929.2300000000012,no,0
198,8659.169999999907,no,0
199,667.9700000000004,no,0
200,1166.630000000001,no,0
201,1435.170000000002,no,0
202,964.8800000000005,no,0
203,908.8300000000003,no,0
204,929.2700000000002,no,0
205,3749.639999999979,no,0
206,386.60000000000025,no,0
207,995.7200000000003,no,0
208,4296.329999999981,yes,6
209,6876.559999999961,no,0
210,3772.5599999999813,no,0
211,2244.0600000000036,no,0
212,3052.659999999983,no,0
213,606.5000000000001,no,0
214,2657.9099999999885,yes,1
215,1672.660000000003,yes,2
216,2624.4999999999964,no,0
217,2435.119999999998,no,0
218,9211.719999999917,no,0
219,11884.789999999895,no,0
220,2525.239999999996,no,0
221,2879.2899999999972,no,0
222,5897.8999999999205,yes,1
223,2738.9799999999946,no,0
224,1600.8000000000022,no,0
225,729.8200000000004,no,0
226,1205.060000000001,no,0
227,1390.249999999998,no,0
228,2404.8099999999995,no,0
229,1004.8900000000003,no,0
230,4521.009999999968,no,0
231,325.68000000000006,no,0
232,12695.569999999942,yes,1
233,645.39,no,0
234,260.63999999999993,no,0
235,12156.639999999885,no,0
236,1591.7800000000022,no,0
237,549.5899999999999,no,0
238,693.4,no,0
239,4671.199999999953,yes,14
240,365.6099999999999,no,0
241,199.7299999999999,no,0
242,5231.799999999973,no,0
