STORE_ID,display,SALES_VALUE
321,7,62163.85999999851
321,9,69515.79999999024
321,A,16482.190000000042
322,0,190028.40000000203
322,1,4831.789999999989
322,2,35390.30000000132
322,3,22846.399999999896
322,4,678.9100000000011
322,5,17718.850000000188
322,6,11289.62999999989
322,7,7641.769999999969
322,9,25113.51999999996
322,A,4826.8199999999815
323,0,511805.2499999333
323,1,60436.7499999962
323,2,138451.42000000933
323,3,115280.81000000237
323,4,3826.0199999999795
323,5,88511.96000000213
323,6,45209.74999999723
323,7,131583.49000000357
323,9,138113.99999999904
323,A,19911.39999999994
324,0,503133.7699999
324,1,15274.659999999898
324,2,48125.61999999962
324,3,35326.29000000068
324,4,3615.1399999999626
324,5,59090.11999999651
324,6,48156.929999997184
324,7,100185.94999999831
324,9,137673.71000000453
324,A,15798.42999999961
327,0,556189.4799998478
327,1,24961.57000000012
327,2,86617.430000002
327,3,57061.649999996305
327,4,1127.3199999999997
327,5,66367.52999999841
327,6,53560.12999999883
327,7,107281.00000000309
327,9,170998.20999998957
327,A,17140.560000000067
329,0,419209.1899999097
329,1,25227.38999999962
329,2,36088.50000000136
329,3,55075.37999999856
329,4,4001.569999999981
329,5,68508.8999999994
329,6,41052.060000000914
329,7,89784.42000000087
329,9,67265.85999999626
329,A,24933.190000000584
330,0,473769.43000000424
330,1,28527.520000000444
330,2,48507.599999999955
330,3,77235.13000000158
330,4,7984.969999999964
330,5,58725.46999999841
330,6,45244.62999999784
330,7,101547.39000000243
330,9,141916.31000002046
330,A,27369.77000000092
333,0,594310.2399999585
333,1,36792.53999999766
333,2,60519.639999995314
333,3,51764.23999999711
333,4,8881.63999999988
333,5,66064.9999999973
333,6,10519.169999999896
333,7,45253.11999999707
333,9,41478.33999999959
333,A,989.2899999999998
334,0,491266.5400000824
334,1,4045.4699999999834
334,2,78030.92000000257
334,3,35220.53000000007
334,4,396.44
334,5,36540.73000000075
334,6,11001.679999999968
334,7,29970.909999999774
334,9,37868.640000000036
334,A,9223.49999999985
335,0,464640.7899999514
335,1,49345.819999996405
335,2,140849.16000001263
335,3,75324.22999999735
335,4,15085.869999999913
335,5,105229.49000000927
335,6,88344.61000000205
335,7,65205.03999999512
335,9,97954.37000000622
335,A,22263.980000000178
337,0,180777.75999999748
337,1,2506.589999999989
337,2,4794.879999999954
337,3,17151.590000000106
337,4,1137.0599999999984
337,5,27547.780000001214
337,6,3666.90000000006
337,7,16169.73999999978
337,9,24067.04000000057
337,A,6773.8999999997295
338,0,238423.75999999518
338,1,9540.879999999945
338,2,36330.35000000133
338,3,25210.730000000854
338,4,985.900000000001
338,5,33942.83000000146
338,6,76627.79000000303
338,7,92191.69999999771
338,9,69606.89999999847
338,A,16692.270000000164
339,0,193512.2499999978
339,1,8060.049999999919
339,2,35322.96000000071
339,3,41396.6299999995
339,4,59639.11999999702
339,5,19714.570000000527
339,6,8006.509999999923
339,7,31214.670000001166
339,9,66009.11999999701
339,A,3349.6499999999924
340,0,229190.4500000012
