household_key,BASKET_ID,coup_user,COUPON_UPC
895,211,yes,3
896,112,yes,1
897,62,no,0
898,315,no,0
899,12,no,0
900,1223,no,0
901,76,no,0
902,10,no,0
903,72,no,0
904,31,no,0
905,31,no,0
906,382,yes,1
907,92,no,0
908,199,yes,2
909,713,yes,1
910,34,no,0
911,75,yes,2
912,20,no,0
913,69,no,0
914,60,no,0
915,119,no,0
916,206,no,0
917,44,no,0
918,152,no,0
919,135,no,0
920,238,yes,4
921,9,no,0
922,150,no,0
923,164,no,0
924,95,no,0
925,79,no,0
926,241,no,0
927,46,no,0
928,137,no,0
929,244,yes,4
930,43,no,0
931,42,yes,29
932,158,no,0
933,79,no,0
934,234,yes,1
935,57,no,0
936,502,yes,4
937,68,no,0
938,26,no,0
939,154,no,0
940,65,no,0
941,122,no,0
942,215,no,0
943,144,no,0
944,104,no,0
945,51,no,0
946,136,no,0
947,221,yes,4
948,4,no,0
949,134,yes,3
950,58,no,0
951,18,no,0
952,111,no,0
953,114,no,0
954,53,yes,2
955,274,no,0
956,621,yes,1
957,576,no,0
958,11,no,0
959,60,no,0
960,106,no,0
961,72,no,0
962,53,no,0
963,43,no,0
964,88,no,0
965,52,no,0
966,16,no,0
967,10,no,0
968,167,yes,1
969,8,no,0
970,15,no,0
971,126,no,0
972,197,yes,1
973,84,no,0
974,43,no,0
975,182,no,0
976,82,no,0
977,34,no,0
978,71,no,0
979,205,yes,28
980,29,no,0
981,36,no,0
982,412,yes,19
983,196,yes,2
984,32,no,0
985,110,no,0
986,90,no,0
987,75,no,0
988,196,yes,4
989,174,no,0
990,16,no,0
991,31,no,0
992,102,no,0
993,126,yes,6
994,21,no,0
995,21,no,0
996,139,no,0
997,92,no,0
998,250,yes,1
999,57,no,0
1000,138,yes,4
1001,90,no,0
1002,30,no,0
1003,63,no,0
1004,253,no,0
1005,180,yes,5
1006,11,no,0
1007,122,no,0
1008,40,no,0
1009,23,no,0
1010,91,no,0
1011,140,yes,3
1012,121,yes,1
1013,35,no,0
1014,161,no,0
1015,108,yes,4
1016,40,no,0
1017,63,yes,1
1018,167,no,0
1019,53,no,0
1020,171,yes,1
1021,99,no,0
1022,36,no,0
1023,603,no,0
1024,145,yes,1
1025,81,no,0
1026,26,no,0
1027,41,no,0
1028,12,no,0
1029,276,yes,5
1030,30,no,0
1031,146,no,0
1032,92,no,0
1033,26,no,0
1034,70,no,0
1035,4,no,0
1036,27,no,0
1037,33,no,0
1038,275,no,0
1039,82,yes,3
1040,229,yes,1
1041,291,no,0
1042,248,no,0
1043,19,no,0
1044,20,no,0
1045,295,no,0
1046,153,no,0
1047,80,no,0
1048,103,no,0
1049,55,no,0
1050,135,no,0
1051,55,no,0
1052,7,no,0
1053,96,no,0
1054,41,no,0
1055,81,no,0
1056,66,no,0
1057,184,no,0
1058,563,no,0
1059,5,no,0
1060,64,no,0
1061,147,no,0
1062,216,no,0
1063,57,no,0
1064,44,yes,5
1065,50,no,0
1066,245,yes,4
1067,62,no,0
1068,111,no,0
1069,55,no,0
1070,177,no,0
1071,84,no,0
1072,61,no,0
1073,121,no,0
1074,132,yes,4
1075,67,no,0
1076,86,no,0
1077,36,no,0
1078,250,no,0
1079,50,no,0
1080,84,no,0
1081,139,yes,2
1082,142,no,0
1083,54,yes,1
1084,225,no,0
1085,106,no,0
1086,30,no,0
1087,149,no,0
1088,91,no,0
1089,96,no,0
1090,12,no,0
1091,116,no,0
1092,42,no,0
1093,33,no,0
1094,95,no,0
1095,30,no,0
1096,47,no,0
1097,165,no,0
1098,449,yes,16
1099,28,no,0
1100,26,no,0
1101,16,no,0
1102,81,no,0
1103,204,no,0
1104,118,no,0
1105,9,no,0
1106,38,no,0
1107,22,no,0
1108,22,no,0
1109,87,no,0
1110,133,no,0
1111,321,no,0
1112,52,no,0
1113,176,yes,5
1114,44,no,0
1115,51,no,0
1116,64,no,0
1117,186,no,0
1118,16,no,0
1119,68,no,0
1120,87,no,0
1121,61,no,0
1122,77,no,0
1123,73,no,0
1124,79,no,0
1125,89,no,0
1126,28,no,0
1127,29,no,0
1128,234,no,0
1129,73,no,0
1130,362,yes,1
1131,102,no,0
1132,58,no,0
1133,115,no,0
1134,51,no,0
1135,64,no,0
1136,59,no,0
1137,134,no,0
1138,212,no,0
1139,92,no,0
1140,21,no,0
1141,59,no,0
1142,284,yes,1
1143,12,no,0
1144,24,no,0
1145,81,no,0
1146,345,yes,12
1147,57,no,0
1148,26,no,0
1149,17,no,0
1150,14,no,0
1151,159,no,0
1152,77,no,0
1153,65,no,0
1154,127,no,0
1155,41,no,0
1156,29,no,0
1157,104,no,0
1158,219,no,0
1159,233,no,0
1160,145,no,0
1161,63,no,0
1162,33,no,0
1163,153,no,0
1164,104,no,0
1165,57,no,0
1166,409,yes,11
1167,150,yes,2
1168,69,no,0
1169,128,no,0
1170,7,no,0
1171,34,no,0
1172,167,no,0
1173,41,no,0
1174,122,no,0
1175,135,yes,5
1176,16,no,0
1177,17,no,0
1178,212,no,0
1179,205,no,0
1180,166,no,0
