STORE_ID,mailer,SALES_VALUE
311,J,4813.199999999978
311,L,4939.419999999966
311,X,2945.359999999996
311,Z,181.28999999999996
313,0,212584.3000000168
313,A,281330.2899999999
313,C,6859.249999999974
313,D,157582.16000001947
313,F,23363.620000000483
313,H,33442.61000000084
313,J,4370.559999999999
313,L,3962.109999999973
313,X,3337.6600000000008
313,Z,275.0099999999999
315,0,327673.3899999429
315,A,289269.0399999733
315,C,6495.259999999897
315,D,176107.8900000152
315,F,40566.649999999994
315,H,29799.850000000664
315,J,4365.13999999999
315,L,4503.539999999984
315,X,5757.239999999992
315,Z,157.95999999999998
316,0,134552.8400000017
316,A,235666.91999998305
316,C,5695.329999999954
316,D,142235.36000000726
316,F,29403.02000000162
316,H,28842.230000000724
316,J,4064.779999999999
316,L,3955.819999999974
316,X,3680.84
316,Z,255.1
317,0,290812.309999971
317,A,176453.13999999067
317,C,4465.509999999959
317,D,87692.05999999595
317,F,35304.09000000172
317,H,17506.15000000007
317,J,3102.889999999999
317,L,3321.1199999999885
317,X,2986.0200000000127
317,Z,231.56
318,0,375763.84999996267
318,A,338850.2800000057
318,C,7320.26999999999
318,D,222684.65000003274
318,F,28681.260000001195
318,H,45111.639999998544
318,J,5857.089999999991
318,L,4067.53999999998
318,X,4237.539999999996
318,Z,203.78000000000003
319,0,298300.3399999625
319,A,430449.2800000328
319,C,10453.589999999842
319,D,198695.75000002232
319,F,56867.52999999852
319,H,49562.63999999855
319,J,7208.669999999953
319,L,7299.209999999958
319,X,4483.5200000000095
319,Z,459.5300000000001
320,0,296491.53999999864
320,A,322495.0299999735
320,C,7397.839999999953
320,D,164362.87000001565
320,F,39028.8200000013
320,H,35397.73000000077
320,J,5899.989999999965
320,L,5835.619999999982
320,X,3802.9200000000023
320,Z,238.83999999999995
321,0,270781.19000004715
321,A,445850.79999999475
321,C,10304.12999999988
321,D,253143.96000004667
321,F,61030.98999999632
321,H,48049.21999999827
321,J,6978.52999999997
321,L,7775.189999999953
321,P,16.99
321,X,8309.849999999948
321,Z,459.57000000000005
322,0,83701.43999999849
322,A,130422.48000000555
322,C,2890.969999999996
322,D,65152.20999999472
322,F,18833.660000000284
322,H,13374.76999999994
322,J,1925.3600000000017
322,L,2388.4199999999996
322,X,1536.4400000000014
322,Z,140.64
323,0,478133.2099999734
323,A,421334.9799999646
323,C,10600.55999999995
323,D,225398.720000025
323,F,46830.750000000444
323,H,48016.64999999797
323,J,7688.339999999953
323,L,7845.249999999948
323,X,6889.650000000023
323,Z,392.7400000000001
324,0,328329.10000003205
324,A,338132.11999998684
324,C,7876.06999999991
324,D,194845.34000001856
324,F,40449.21999999944
324,H,39319.840000000164
324,J,6535.169999999974
324,L,6225.46999999996
324,X,4505.510000000013
324,Z,162.77999999999997
327,0,392256.6099999184
327,A,424908.7899999287
327,C,9548.82999999983
327,D,204736.83000000406
327,F,42808.51999999957
327,H,46595.51999999943
327,J,6957.099999999963
327,L,7745.559999999942
