Product,Coupon_Used,TransactionCount
CANDY & BREATH MINTS (PKGD) (N,no,47
CANDY BAGS-CHOCOCLATE,no,871
CANDY BAGS-CHOCOCLATE,yes,3
CANDY BAGS-CHOCOCLATE W/FLOUR,no,37
CANDY BARS (MULTI PACK),no,351
CANDY/CHOCOLATE,no,1
CANISTER POTATO/TORT CHIPS,no,798
CANNED CAT FOOD (9 LIVES/FRISK,no,18728
CANNED CAT FOOD (9 LIVES/FRISK,yes,5
CANNED CAT FOOD RATION (ECONOM,no,219
CANNED MILK,no,539
CANNING JARSLIDSUTENSILSMIS,no,5
CANNING SPICESSALSAPICKLING,no,5
CANNING SUPPLIES/PICKLING MIX,no,12
CANNING SUPPLIES/PICKLING MIX,yes,2
CANOLA OILS,no,1674
CANS SOUP/CHILI,no,77
CANTALOUPE WHOLE,no,5616
CANTALOUPE WHOLE,yes,8
CAPSULE/TABLET NUTRITION PRODU,no,36
CARAMEL COATED SNACKS,no,46
CARBONATED WATER - FLVRD UNSWE,no,34
CARBONATED WATER - UNFLAVORED,no,60
CARDS EVERYDAY,no,6445
CARDS SEASONAL,no,2314
CARDS SEASONAL,yes,3
CARNATIONS,no,76
CARROTS,no,95
CARROTS - BULK,no,2132
CARROTS - BULK,yes,2
CARROTS BAGGED,no,4763
CARROTS BAGGED,yes,4
CARROTS MINI PEELED,no,23500
CARROTS MINI PEELED,yes,24
CARROTS SLICED/SHRED/STICKS,no,934
CARROTS SLICED/SHRED/STICKS,yes,2
CAT TREATS,no,2197
CAT TREATS,yes,3
CATSUP,no,1417
CATSUP,yes,1
CAULIFLOWER WHOLE,no,4050
CAULIFLOWER WHOLE,yes,6
CB (NON ROSE)LILY,no,151
CELERY,no,11058
CELERY,yes,22
CELERY CHOPPED/STICKS,no,450
CELLULAR ACCESSORIES,no,7
CEREAL - COLD,no,457
CEREAL - COLD,yes,2
CEREAL - HOT,no,21
CEREAL - HOT,yes,2
CEREAL BARS,no,2886
CEREAL BARS,yes,6
CHARCOAL,no,251
CHEESE,no,288
CHEESE CRACKERS (CHEEZ-ITS/GOL,no,76
CHEESE: NATURAL PREPORTND,no,923
CHEESE: NATURAL PREPORTND,yes,3
CHEESE:CHEESEBALLS/SPREADS,no,1180
CHEESE:CHEESEBALLS/SPREADS,yes,4
CHEESE:PROCESSED PREPORTND,no,38
CHEESE:SPECIALTY PREPACK,no,330
CHEESE:SPECIALTY PREPACK,yes,1
CHERRIES (EXCEPT MARASCHINO),no,3
CHERRIES (EXCEPT MARASCHINO),yes,1
CHERRIES RANIER,no,410
CHERRIES RED,no,1777
CHERRIES RED,yes,1
CHEWING GUM,no,1840
CHEWING GUM,yes,1
CHICKEN,no,51
CHICKEN BREAST BONE IN,no,9163
CHICKEN BREAST BONE IN,yes,10
CHICKEN BREAST BONELESS,no,24050
CHICKEN BREAST BONELESS,yes,18
CHICKEN DRUMS,no,6017
CHICKEN DRUMS,yes,3
CHICKEN LEGS/QUARTERS,no,342
CHICKEN THIGHS,no,4015
CHICKEN THIGHS,yes,1
CHICKEN WINGS,no,3627
CHICKEN WINGS,yes,1
CHICKEN-FULLY COOKED,no,3592
CHICKEN-FULLY COOKED,yes,2
CHILDREN S ACTIVITY,no,51
CHILDREN S MUSICAL INSTRUMENTS,no,2
CHILI SAUCE COCKTAIL SAUCE,no,62
CHILI: CANNED,no,397
CHIX: BAKED 8PC CUT UP (COLD),no,28
CHIX: BAKED 8PC CUT UP (HOT),no,470
CHOCOLATE COVERED COOKIES,no,2085
CHOCOLATE COVERED COOKIES,yes,15
CHOCOLATE MILK,no,25531
CHOCOLATE MILK,yes,8
CHOCOLATE SYRUP,no,30
CHOICE BEEF,no,30907
CHOICE BEEF,yes,27
CHRISTMAS GREENS/WREATHS,no,28
CHUCK/SHLDR - ROAST,no,3
CHUCK/SHLDR - STK/CHP/SLC,no,321
CHUCK/SHOULDER,no,299
CHUNK MEATS - ALL,no,18
CIDER,no,1793
CIDER,yes,2
CITRUS - OTHER,no,66
CLEANING WIPES,no,524
CLEANSING WIPES,no,331
CLEANSING WIPES,yes,1
CLEMENTINES,no,2365
CLEMENTINES,yes,2
CLOSET ACCESSORIES,no,24
COCKTAIL MIXES-FRZ,no,414
COCKTAILS,no,2628
COCKTAILS,yes,3
COCONUT,no,58
COLD AND FLU,no,3143
COLD AND FLU,yes,3
COLD AND FLU (AGE RESTRICTED),no,169
COLD AND FLU - DXM,no,2964
COLD AND FLU - DXM,yes,1
COLD AND FLU - PSE,no,1391
COLESLAW,no,2671
COLESLAW,yes,4
COLLARS AND LEADS,no,286
COLLEGIATE,no,2
COLOR SETS,no,206
CONDENSED SOUP,no,6596
CONDENSED SOUP,yes,3
CONDIMENTS/SUPPLIES,no,1472
CONDIMENTS/SUPPLIES,yes,1
CONES,no,4016
CONES,yes,5
CONSUMER BUNCH (NON-ROSE),no,609
CONVALESCENT CARE - CANES,no,6
CONVENTIONAL LITTER,no,2574
CONVENTIONAL LITTER,yes,2
COOKED,no,462
COOKIES/SWEET GOODS,no,27
COOKIES/SWEET GOODS,yes,1
COOKIES: REGULAR,no,207
COOKING BAGS,no,238
COOKING BAGS,yes,1
COOKING CHOCOLATE (EX SMI-SWT),no,100
