,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,playoff,playoff_lower,playoff_upper,superbowl,superbowl_lower,superbowl_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1837,2020-01-13,76.41925129935619,63.346557967700505,95.08831490374115,76.41925129935619,76.41925129935619,2.64909765033891,2.64909765033891,2.64909765033891,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.978901781765386,7.978901781765386,7.978901781765386,-22.263094018110795,-22.263094018110795,-22.263094018110795,0.0,0.0,0.0,79.0683489496951
1838,2020-01-14,76.4329867804414,69.42819254969737,98.54727730796787,76.4329867804414,76.4329867804414,7.492315998809657,7.492315998809657,7.492315998809657,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932105787637395,12.932105787637395,12.932105787637395,-22.373079675512056,-22.373079675512056,-22.373079675512056,0.0,0.0,0.0,83.92530277925106
1839,2020-01-15,76.4467222615266,51.581326271737886,81.89686603263344,76.44660355506008,76.4467222615266,-9.628878854033868,-9.628878854033868,-9.628878854033868,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.099146511182818,-4.099146511182818,-4.099146511182818,-22.463022229535365,-22.463022229535365,-22.463022229535365,0.0,0.0,0.0,66.81784340749273
1840,2020-01-16,76.46045774261181,45.41677534422906,75.90075016849096,76.46015989398464,76.46045774261181,-15.800468452314815,-15.800468452314815,-15.800468452314815,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.20450935502879,-10.20450935502879,-10.20450935502879,-22.529248983970344,-22.529248983970344,-22.529248983970344,0.0,0.0,0.0,60.65998929029699
1841,2020-01-17,76.47419322369703,49.02253245852079,79.13682932243736,76.4737922333331,76.47429796696574,-12.311912581257284,-12.311912581257284,-12.311912581257284,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.676391625872025,-6.676391625872025,-6.676391625872025,-22.56881084206957,-22.56881084206957,-22.56881084206957,0.0,0.0,0.0,64.16228064243974
1842,2020-01-18,76.48792870478222,53.71542872677176,84.88122306550079,76.48741139652016,76.48808772256385,-7.902556036442436,-7.902556036442436,-7.902556036442436,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2563245510408327,-2.2563245510408327,-2.2563245510408327,-22.579521372085924,-22.579521372085924,-22.579521372085924,0.0,0.0,0.0,68.58537266833979
1843,2020-01-19,76.50166418586743,58.92514142040315,88.44136096286225,76.5007582163212,76.50192865943586,-3.3013168461318103,-3.3013168461318103,-3.3013168461318103,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3253644737576353,2.3253644737576353,2.3253644737576353,-22.55997120657377,-22.55997120657377,-22.55997120657377,0.0,0.0,0.0,73.20034733973561
1844,2020-01-20,76.51539966695263,62.806265331500526,93.722548866636,76.5144238673577,76.51579477921379,2.402673120752926,2.402673120752926,2.402673120752926,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.978901781764925,7.978901781764925,7.978901781764925,-22.509518547696317,-22.509518547696317,-22.509518547696317,0.0,0.0,0.0,78.91807278770555
1845,2020-01-21,76.52913514803785,69.0533903349216,98.26609725098832,76.5279141736096,76.52962479330948,7.437138452427157,7.437138452427157,7.437138452427157,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932105787632253,12.932105787632253,12.932105787632253,-22.428257221889414,-22.428257221889414,-22.428257221889414,0.0,0.0,0.0,83.96627360046502
1846,2020-01-22,76.54287062912304,52.58107314767647,81.43009112845988,76.54127332006072,76.54356660866463,-9.482820959402124,-9.482820959402124,-9.482820959402124,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.09914651119896,-4.09914651119896,-4.09914651119896,-22.316964334887476,-22.316964334887476,-22.316964334887476,0.0,0.0,0.0,67.06004966972093
1847,2020-01-23,76.55660611020825,45.8031848761339,76.42122352412453,76.55481839840338,76.55742965380803,-15.448249574473229,-15.448249574473229,-15.448249574473229,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.204509355031703,-10.204509355031703,-10.204509355031703,-22.177030106125844,-22.177030106125844,-22.177030106125844,0.0,0.0,0.0,61.10835653573502
1848,2020-01-24,76.57034159129347,50.14622167682441,80.02903815467967,76.56829020853364,76.57128097055207,-11.753474635872985,-11.753474635872985,-11.753474635872985,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.676391625877021,-6.676391625877021,-6.676391625877021,-22.010372896680277,-22.010372896680277,-22.010372896680277,0.0,0.0,0.0,64.81686695542048
1849,2020-01-25,76.58407707237868,53.679655397118744,84.19995619939027,76.58169817066623,76.58529494590209,-7.142377440817708,-7.142377440817708,-7.142377440817708,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2563245510293504,-2.2563245510293504,-2.2563245510293504,-21.819342776472674,-21.819342776472674,-21.819342776472674,0.0,0.0,0.0,69.44169963156097
1850,2020-01-26,76.59781255346387,60.31349032148433,88.97876629423399,76.59508456315166,76.59934033565742,-2.3479628371368975,-2.3479628371368975,-2.3479628371368975,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.325364473740267,2.325364473740267,2.325364473740267,-21.606617197561476,-21.606617197561476,-21.606617197561476,0.0,0.0,0.0,74.24984971632696
1851,2020-01-27,76.61154803454907,65.03699119050961,94.59460650398125,76.60849159971764,76.61343867886343,3.5370992215906827,3.5370992215906827,3.5370992215906827,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9789017817752885,7.9789017817752885,7.9789017817752885,-21.375092446868923,-21.375092446868923,-21.375092446868923,0.0,0.0,0.0,80.14864725613975
1852,2020-01-28,76.6252835156343,70.4845115438113,100.82821340331579,76.62197245661379,76.62733213293888,8.737621130733077,8.737621130733077,8.737621130733077,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932105787626597,12.932105787626597,12.932105787626597,-21.12777454357784,-21.12777454357784,-21.12777454357784,0.0,0.0,0.0,85.36290464636737
1853,2020-01-29,76.6390189967195,52.85711584209981,82.398367721645,76.63544991710712,76.64144147242042,-8.033529751045366,-8.033529751045366,-8.033529751045366,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.09914651120243,-4.09914651120243,-4.09914651120243,-20.867673126527247,-20.867673126527247,-20.867673126527247,0.0,0.0,0.0,68.60548924567414
1854,2020-01-30,76.6527544778047,47.92284148340703,79.03648992079026,76.64877176424785,76.655473515388,-13.868921120004847,-13.868921120004847,-13.868921120004847,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.204509355023712,-10.204509355023712,-10.204509355023712,-20.597701651665453,-20.597701651665453,-20.597701651665453,0.0,0.0,0.0,62.78383335779986
